TJ,Places disponibles,Voeux 1,Voeux 2,Voeux 3 ,Voeux 4,Voeux 5 ,Voeux 6
AGEN,3,3,4,4,6,9,2
AIX-EN-PROVENCE,4,9,9,4,7,7,7
AJACCIO,2,1,0,0,1,1,1
ALBERTVILLE,1,0,0,0,2,0,0
ALBI,1,0,1,2,1,2,1
ALENCON,1,0,0,0,1,0,0
ALES,1,0,0,0,0,3,1
AMIENS,3,5,4,5,5,4,4
ANGERS,3,9,10,13,6,8,3
ANGOULEME,3,2,3,8,4,4,2
ANNECY,2,5,3,6,4,6,4
ARGENTAN,1,0,0,0,0,0,0
ARRAS,3,5,0,1,2,0,0
AUCH,1,0,0,0,0,0,0
AUXERRE,2,1,0,0,0,2,1
AVESNES-SUR-HELPE,2,0,0,0,0,2,1
AVIGNON,3,5,5,8,7,6,10
BAR-LE-DUC,1,0,0,0,1,0,1
BASTIA,2,1,1,0,1,2,1
BAYONNE,3,7,10,8,7,5,6
BEAUVAIS,2,1,0,3,1,1,0
BELFORT,1,1,0,0,0,0,0
BERGERAC,1,0,1,2,1,3,0
BESANCON,2,2,0,3,1,0,3
BETHUNE,4,1,1,1,1,0,1
BEZIERS,2,1,5,3,2,3,1
BLOIS,2,1,5,0,3,1,2
BOBIGNY,6,14,8,7,8,3,4
BONNEVILLE,1,0,0,0,1,1,3
BORDEAUX,4,22,5,3,5,3,4
BOULOGNE-SUR-MER,3,0,0,0,1,3,1
BOURG-EN-BRESSE,3,4,0,2,5,5,2
BOURGES,2,0,1,0,0,2,1
BOURGOIN-JALLIEU,1,2,0,4,0,4,2
BREST,3,1,1,1,4,4,1
BRIEY,1,1,0,1,1,0,0
BRIVE-LA-GAILLARDE,2,1,0,0,0,0,0
CAEN,3,5,2,4,4,2,4
CAHORS,1,0,1,0,0,1,0
CAMBRAI,1,0,0,2,1,2,0
CARCASSONNE,1,0,1,1,2,1,2
CARPENTRAS,2,0,1,2,1,1,2
CASTRES,1,0,0,1,2,0,1
CHALON-SUR-SAONE,2,1,2,0,2,0,2
CHALONS-EN-CHAMPAGNE,2,0,0,0,0,0,1
CHAMBERY,2,2,7,0,4,1,4
CHARLEVILLE-MEZIERES,1,1,0,0,0,0,0
CHARTRES,2,2,1,3,6,4,1
CHATEAUROUX,2,0,0,0,0,1,1
CHAUMONT,1,0,0,0,0,0,0
CHERBOURG,1,0,0,0,0,0,0
CLERMONT-FERRAND,4,1,1,2,3,3,3
COLMAR,2,1,3,2,3,1,1
COMPIEGNE,1,0,1,0,1,5,1
COUTANCES,2,0,2,0,0,1,0
CRETEIL,6,4,7,7,9,6,2
CUSSET,1,0,0,0,0,0,1
DAX,1,1,0,3,1,2,1
DIEPPE,1,0,1,1,0,0,1
DIGNE-LES-BAINS,2,0,0,1,0,0,1
DIJON,4,1,4,6,6,7,4
DOUAI,2,0,3,2,2,0,1
DRAGUIGNAN,3,0,2,4,0,2,2
DUNKERQUE,3,2,3,0,0,0,4
EPINAL,2,1,1,3,1,3,2
EVREUX,3,0,1,2,1,1,6
EVRY,4,3,2,3,4,10,9
FOIX,1,1,0,2,0,1,0
FONTAINEBLEAU,1,0,1,1,1,1,3
GAP,1,0,0,0,0,1,0
GRASSE,4,1,2,2,4,4,4
GRENOBLE,4,3,3,0,1,6,2
GUERET,1,0,1,0,0,0,0
LA ROCHE-SUR-YON,2,1,1,1,1,1,2
LA ROCHELLE,3,10,10,11,10,6,13
LAON,2,0,1,1,0,0,0
LAVAL,2,1,1,1,1,1,2
LE HAVRE,3,2,1,3,0,3,3
LE MANS,3,2,1,5,2,7,5
LE PUY-EN-VELAY,1,1,0,0,0,0,2
LES SABLES-D'OLONNE,1,0,1,0,0,1,5
LIBOURNE,1,2,14,2,0,1,2
LILLE,5,5,4,8,6,3,1
LIMOGES,3,2,1,1,2,0,1
LISIEUX,1,0,0,1,0,1,0
LONS-LE-SAUNIER,1,0,0,0,0,0,0
LORIENT,3,2,1,1,3,4,1
LYON,6,8,7,7,3,2,6
MACON,1,0,0,0,0,2,2
MARSEILLE,6,8,3,4,2,2,1
MEAUX,4,5,2,5,4,4,5
MELUN,2,2,3,8,6,9,3
METZ,3,3,3,2,5,1,2
MONT-DE-MARSAN,1,0,2,0,1,0,2
MONTARGIS,1,0,0,0,1,0,0
MONTAUBAN,2,1,3,1,3,1,1
MONTBELIARD,1,0,1,0,1,0,1
MONTPELLIER,4,8,5,9,3,4,5
MOULINS,1,0,0,0,1,0,0
MULHOUSE,2,0,1,4,0,2,2
NANCY,3,4,0,1,3,1,3
NANTERRE,6,6,15,5,6,3,2
NANTES,4,11,10,5,7,10,3
NARBONNE,1,3,2,0,2,3,6
NEVERS,2,0,0,0,0,0,0
NICE,3,7,9,1,6,5,1
NIMES,4,3,8,5,5,3,5
NIORT,2,1,0,1,1,0,3
ORLEANS,3,1,2,3,7,5,7
PARIS,6,10,6,7,6,0,2
PAU,3,2,4,1,2,4,5
PERIGUEUX,2,2,0,2,8,1,1
PERPIGNAN,3,3,1,1,0,2,4
POITIERS,3,3,4,7,0,11,7
PONTOISE,5,5,1,1,3,1,3
PRIVAS,2,0,0,0,0,0,0
QUIMPER,2,1,0,0,1,1,2
REIMS,3,2,6,4,1,3,1
RENNES,4,9,10,11,6,10,4
ROANNE,1,1,0,0,3,0,1
RODEZ,1,0,0,0,0,0,0
ROUEN,3,2,4,5,6,5,11
SAINT-BRIEUC,3,0,3,2,1,1,2
SAINT-ETIENNE,4,3,1,3,1,1,1
SAINT-MALO,1,1,0,2,1,2,3
SAINT-NAZAIRE,2,1,0,0,0,0,2
SAINT-OMER,1,0,1,2,1,0,1
SAINT-QUENTIN,1,0,0,0,0,0,2
SAINTES,2,0,0,2,6,3,5
SARREGUEMINES,2,0,1,1,1,2,1
SAVERNE,1,1,1,1,0,1,1
SENLIS,2,2,1,4,3,1,2
SENS,1,0,0,0,0,0,0
SOISSONS,1,0,0,0,0,1,1
STRASBOURG,4,6,6,4,7,5,5
TARASCON,2,1,1,1,3,1,3
TARBES,2,0,0,0,0,0,0
THIONVILLE,2,2,1,0,1,2,2
THONON-LES-BAINS,2,0,0,3,1,1,2
TOULON,3,5,3,3,6,2,4
TOULOUSE,5,8,6,2,4,5,2
TOURS,4,7,6,9,10,7,8
TROYES,2,0,0,2,2,3,0
VALENCE,3,2,4,5,5,5,1
VALENCIENNES,3,1,1,1,3,3,2
VANNES,2,3,1,1,1,0,3
VERDUN,1,1,0,1,0,0,0
VERSAILLES,5,12,12,6,1,4,5
VESOUL,1,0,0,0,0,0,1
VIENNE,2,4,3,2,0,0,1
VILLEFRANCHE-SUR-SAONE,2,1,5,0,1,1,1
